date,nav,acc_nav,daily_growth_pct,source
2019-09-19,1.142,3.553,0.62,eastmoney
2019-09-20,1.143,3.554,0.09,eastmoney
2019-09-23,1.135,3.546,-0.7,eastmoney
2019-09-24,1.139,3.55,0.35,eastmoney
2019-09-25,1.127,3.538,-1.05,eastmoney
2019-09-26,1.11,3.521,-1.51,eastmoney
2019-09-27,1.113,3.524,0.27,eastmoney
2019-09-30,1.101,3.512,-1.08,eastmoney
2019-10-08,1.1,3.511,-0.09,eastmoney
2019-10-09,1.104,3.515,0.36,eastmoney
2019-10-10,1.117,3.528,1.18,eastmoney
2019-10-11,1.12,3.531,0.27,eastmoney
2019-10-14,1.127,3.538,0.63,eastmoney
2019-10-15,1.117,3.528,-0.89,eastmoney
2019-10-16,1.113,3.524,-0.36,eastmoney
2019-10-17,1.119,3.53,0.54,eastmoney
2019-10-18,1.107,3.518,-1.07,eastmoney
2019-10-21,1.107,3.518,0.0,eastmoney
2019-10-22,1.114,3.525,0.63,eastmoney
2019-10-23,1.101,3.512,-1.17,eastmoney
2019-10-24,1.097,3.508,-0.36,eastmoney
2019-10-25,1.103,3.514,0.55,eastmoney
2019-10-28,1.114,3.525,1.0,eastmoney
2019-10-29,1.109,3.52,-0.45,eastmoney
2019-10-30,1.102,3.513,-0.63,eastmoney
2019-10-31,1.098,3.509,-0.36,eastmoney
2019-11-01,1.11,3.521,1.09,eastmoney
2019-11-04,1.116,3.527,0.54,eastmoney
2019-11-05,1.124,3.535,0.72,eastmoney
2019-11-06,1.065,3.526,-0.8,eastmoney
2019-11-07,1.068,3.529,0.28,eastmoney
2019-11-08,1.067,3.528,-0.09,eastmoney
2019-11-11,1.05,3.511,-1.59,eastmoney
2019-11-12,1.049,3.51,-0.1,eastmoney
2019-11-13,1.052,3.513,0.29,eastmoney
2019-11-14,1.056,3.517,0.38,eastmoney
2019-11-15,1.048,3.509,-0.76,eastmoney
2019-11-18,1.051,3.512,0.29,eastmoney
2019-11-19,1.063,3.524,1.14,eastmoney
2019-11-20,1.054,3.515,-0.85,eastmoney
2019-11-21,1.05,3.511,-0.38,eastmoney
2019-11-22,1.036,3.497,-1.33,eastmoney
2019-11-25,1.035,3.496,-0.1,eastmoney
2019-11-26,1.039,3.5,0.39,eastmoney
2019-11-27,1.041,3.502,0.19,eastmoney
2019-11-28,1.041,3.502,0.0,eastmoney
2019-11-29,1.034,3.495,-0.67,eastmoney
2019-12-02,1.033,3.494,-0.1,eastmoney
2019-12-03,1.033,3.494,0.0,eastmoney
2019-12-04,1.035,3.496,0.19,eastmoney
2019-12-05,1.049,3.51,1.35,eastmoney
2019-12-06,1.055,3.516,0.57,eastmoney
2019-12-09,1.053,3.514,-0.19,eastmoney
2019-12-10,1.054,3.515,0.1,eastmoney
2019-12-11,1.052,3.513,-0.19,eastmoney
2019-12-12,1.051,3.512,-0.1,eastmoney
2019-12-13,1.066,3.527,1.43,eastmoney
2019-12-16,1.084,3.545,1.69,eastmoney
2019-12-17,1.093,3.554,0.83,eastmoney
2019-12-18,1.09,3.551,-0.27,eastmoney
2019-12-19,1.082,3.543,-0.73,eastmoney
2019-12-20,1.08,3.541,-0.18,eastmoney
2019-12-23,1.068,3.529,-1.11,eastmoney
2019-12-24,1.078,3.539,0.94,eastmoney
