date,nav,source,daily_growth_pct,acc_nav
2016-05-09,1.0,akshare_fund_open_fund_info_em,0.0,1.0
2016-05-13,0.999,akshare_fund_open_fund_info_em,0.0,0.999
2016-05-20,0.999,akshare_fund_open_fund_info_em,0.0,0.999
2016-05-27,1.0,akshare_fund_open_fund_info_em,0.0,1.0
2016-06-03,1.002,akshare_fund_open_fund_info_em,0.0,1.002
2016-06-08,1.003,akshare_fund_open_fund_info_em,0.0,1.003
2016-06-16,1.004,akshare_fund_open_fund_info_em,0.0,1.004
2016-06-17,1.005,akshare_fund_open_fund_info_em,0.0996,1.005
2016-06-20,1.006,akshare_fund_open_fund_info_em,0.0995,1.006
2016-06-21,1.006,akshare_fund_open_fund_info_em,0.0,1.006
2016-06-22,1.006,akshare_fund_open_fund_info_em,0.0,1.006
2016-06-23,1.006,akshare_fund_open_fund_info_em,0.0,1.006
2016-06-24,1.006,akshare_fund_open_fund_info_em,0.0,1.006
2016-06-27,1.008,akshare_fund_open_fund_info_em,0.1988,1.008
2016-06-28,1.009,akshare_fund_open_fund_info_em,0.0992,1.009
2016-06-29,1.009,akshare_fund_open_fund_info_em,0.0,1.009
2016-06-30,1.01,akshare_fund_open_fund_info_em,0.0991,1.01
2016-07-01,1.011,akshare_fund_open_fund_info_em,0.099,1.011
2016-07-04,1.012,akshare_fund_open_fund_info_em,0.0989,1.012
2016-07-05,1.013,akshare_fund_open_fund_info_em,0.0988,1.013
2016-07-06,1.013,akshare_fund_open_fund_info_em,0.0,1.013
2016-07-07,1.014,akshare_fund_open_fund_info_em,0.0987,1.014
2016-07-08,1.015,akshare_fund_open_fund_info_em,0.0986,1.015
2016-07-11,1.016,akshare_fund_open_fund_info_em,0.0985,1.016
2016-07-12,1.017,akshare_fund_open_fund_info_em,0.0984,1.017
2016-07-13,1.017,akshare_fund_open_fund_info_em,0.0,1.017
2016-07-14,1.017,akshare_fund_open_fund_info_em,0.0,1.017
2016-07-15,1.018,akshare_fund_open_fund_info_em,0.0983,1.018
2016-07-18,1.019,akshare_fund_open_fund_info_em,0.0982,1.019
2016-07-19,1.019,akshare_fund_open_fund_info_em,0.0,1.019
2016-07-20,1.019,akshare_fund_open_fund_info_em,0.0,1.019
2016-07-21,1.02,akshare_fund_open_fund_info_em,0.0981,1.02
2016-07-22,1.02,akshare_fund_open_fund_info_em,0.0,1.02
2016-07-25,1.021,akshare_fund_open_fund_info_em,0.098,1.021
2016-07-26,1.022,akshare_fund_open_fund_info_em,0.0979,1.022
2016-07-27,1.021,akshare_fund_open_fund_info_em,-0.0978,1.021
2016-07-28,1.022,akshare_fund_open_fund_info_em,0.0979,1.022
2016-07-29,1.022,akshare_fund_open_fund_info_em,0.0,1.022
2016-08-01,1.023,akshare_fund_open_fund_info_em,0.0978,1.023
2016-08-02,1.024,akshare_fund_open_fund_info_em,0.0978,1.024
2016-08-03,1.024,akshare_fund_open_fund_info_em,0.0,1.024
2016-08-04,1.025,akshare_fund_open_fund_info_em,0.0977,1.025
2016-08-05,1.025,akshare_fund_open_fund_info_em,0.0,1.025
2016-08-08,1.027,akshare_fund_open_fund_info_em,0.1951,1.027
2016-08-09,1.028,akshare_fund_open_fund_info_em,0.0974,1.028
2016-08-10,1.028,akshare_fund_open_fund_info_em,0.0,1.028
2016-08-11,1.028,akshare_fund_open_fund_info_em,0.0,1.028
2016-08-12,1.03,akshare_fund_open_fund_info_em,0.1946,1.03
2016-08-15,1.032,akshare_fund_open_fund_info_em,0.1942,1.032
2016-08-16,1.031,akshare_fund_open_fund_info_em,-0.0969,1.031
2016-08-17,1.031,akshare_fund_open_fund_info_em,0.0,1.031
2016-08-18,1.032,akshare_fund_open_fund_info_em,0.097,1.032
2016-08-19,1.033,akshare_fund_open_fund_info_em,0.0969,1.033
2016-08-22,1.034,akshare_fund_open_fund_info_em,0.0968,1.034
2016-08-23,1.034,akshare_fund_open_fund_info_em,0.0,1.034
