date,open,high,low,close,volume,source
2023-06-21,6679.15,6681.57,6548.41,6548.41,153983952,sohu
2023-06-26,6504.97,6535.49,6404.04,6420.97,154732688,sohu
2023-06-27,6425.84,6518.98,6424.33,6507.27,135607120,sohu
2023-06-28,6504.5,6505.47,6367.35,6475.5,145808384,sohu
2023-06-29,6465.1,6542.28,6462.07,6520.04,135252144,sohu
2023-06-30,6507.5,6615.97,6500.86,6602.04,144498928,sohu
2023-07-03,6617.08,6640.34,6571.84,6612.88,160977360,sohu
2023-07-04,6610.66,6639.82,6599.6,6638.45,139742784,sohu
2023-07-05,6632.37,6642.55,6575.73,6584.42,133052280,sohu
2023-07-06,6573.58,6619.29,6558.89,6567.08,124077272,sohu
2023-07-07,6553.56,6558.11,6486.11,6521.43,123599544,sohu
2023-07-10,6539.08,6556.15,6501.75,6526.85,120450936,sohu
2023-07-11,6531.63,6579.37,6514.99,6579.37,119603640,sohu
2023-07-12,6576.94,6576.96,6476.85,6482.99,140204480,sohu
2023-07-13,6497.81,6553.6,6497.76,6548.31,135117760,sohu
2023-07-14,6554.53,6571.14,6538.65,6544.46,135631968,sohu
2023-07-17,6524.61,6525.19,6481.29,6516.56,126408776,sohu
2023-07-18,6519.76,6537.91,6490.06,6510.03,119968656,sohu
2023-07-19,6508.52,6530.54,6459.44,6492.35,109136336,sohu
2023-07-20,6497.78,6512.45,6404.12,6408.76,122150960,sohu
2023-07-21,6397.15,6447.3,6378.2,6401.42,113590848,sohu
2023-07-24,6397.43,6437.99,6370.05,6393.79,109049464,sohu
2023-07-25,6448.27,6499.42,6444.58,6498.27,147365728,sohu
2023-07-26,6497.59,6497.59,6441.56,6457.25,149583520,sohu
2023-07-27,6458.48,6475.83,6397.59,6407.55,144624352,sohu
2023-07-28,6389.43,6471.68,6369.37,6465.38,157267520,sohu
2023-07-31,6475.83,6549.75,6475.83,6515.85,183815984,sohu
2023-08-01,6513.14,6521.97,6482.17,6507.41,184326464,sohu
2023-08-02,6499.86,6515.07,6475.42,6496.02,168646288,sohu
2023-08-03,6472.11,6502.55,6460.28,6499.54,163471392,sohu
2023-08-04,6514.54,6561.74,6505.86,6535.32,194622992,sohu
2023-08-07,6524.3,6532.52,6485.66,6503.98,168919408,sohu
2023-08-08,6496.59,6500.9,6457.25,6471.34,142743424,sohu
2023-08-09,6452.98,6464.36,6411.23,6420.98,132319464,sohu
2023-08-10,6409.22,6438.43,6392.9,6426.81,131957688,sohu
2023-08-11,6428.88,6428.88,6304.64,6304.64,149016736,sohu
2023-08-14,6251.97,6320.95,6213.98,6319.41,138392224,sohu
2023-08-15,6318.55,6325.57,6203.44,6261.73,122703104,sohu
2023-08-16,6240.71,6255.81,6186.4,6186.4,124958760,sohu
2023-08-17,6167.65,6255.05,6128.13,6247.6,129135240,sohu
2023-08-18,6245.13,6259.79,6117.11,6117.11,139212544,sohu
2023-08-21,6107.92,6154.25,6057.17,6057.17,117091696,sohu
2023-08-22,6082.72,6108.21,5984.44,6099.19,144282416,sohu
2023-08-23,6084.15,6084.15,5973.65,5973.67,128422376,sohu
2023-08-24,5989.43,6049.55,5942.57,5987.97,134197456,sohu
2023-08-25,5960.59,5980.24,5855.88,5879.03,140117104,sohu
2023-08-28,6204.1,6204.1,5907.94,5922.16,210870112,sohu
2023-08-29,5909.46,6121.59,5907.96,6108.76,186689584,sohu
2023-08-30,6117.41,6185.27,6102.09,6139.63,167499568,sohu
2023-08-31,6130.64,6130.95,6087.33,6104.3,143040416,sohu
2023-09-01,6108.13,6136.78,6086.27,6107.2,124017048,sohu
2023-09-04,6129.54,6198.76,6109.1,6198.76,155507280,sohu
2023-09-05,6188.52,6206.35,6154.83,6167.64,141068000,sohu
2023-09-06,6146.39,6202.32,6117.81,6195.38,129717664,sohu
2023-09-07,6185.33,6185.33,6083.49,6083.49,132254112,sohu
2023-09-08,6063.24,6128.84,6062.9,6102.49,118918280,sohu
2023-09-11,6114.07,6204.43,6083.39,6182.64,144003296,sohu
2023-09-12,6175.63,6212.26,6169.04,6184.61,120512256,sohu
2023-09-13,6169.53,6177.38,6059.29,6103.14,125032672,sohu
2023-09-14,6101.77,6102.49,6037.72,6068.71,114441840,sohu
2023-09-15,6082.19,6117.82,6046.87,6079.06,124196904,sohu
2023-09-18,6058.3,6106.27,6029.97,6083.97,118394464,sohu
2023-09-19,6077.4,6077.4,6011.91,6031.04,112745992,sohu
2023-09-20,6020.91,6038.75,5982.1,5982.56,105727968,sohu
2023-09-21,5968.35,5999.4,5931.1,5939.66,99709536,sohu
2023-09-22,5934.27,6056.45,5923.24,6054.93,133556776,sohu
2023-09-25,6051.82,6058.47,6014.61,6027.39,129532608,sohu
2023-09-26,6017.3,6034.85,5996.05,5996.11,114061568,sohu
2023-09-27,5989.8,6063.91,5989.16,6034.06,121662328,sohu
2023-09-28,6048.83,6085.53,6048.68,6078.94,127759256,sohu
2023-10-09,6073.28,6075.46,6025.36,6059.97,136755968,sohu
2023-10-10,6069.91,6084.93,6037.47,6043.48,140815312,sohu
2023-10-11,6056.03,6105.42,6040.5,6059.4,143601136,sohu
2023-10-12,6088.55,6106.95,6064.82,6104.46,145452816,sohu
2023-10-13,6080.33,6091.54,6063.56,6081.87,144115088,sohu
2023-10-16,6089.42,6089.48,5996.79,6024.36,164459216,sohu
2023-10-17,6027.91,6028.02,5967.3,6011.37,139421232,sohu
2023-10-18,5992.51,5992.51,5905.84,5908.01,145065152,sohu
2023-10-19,5879.81,5929.58,5842.41,5842.89,155497792,sohu
2023-10-20,5816.72,5855.46,5767.02,5774.32,138964352,sohu
2023-10-23,5754.18,5754.25,5613.73,5638.14,145845856,sohu
2023-10-24,5654.93,5734.55,5625.71,5719.32,151553072,sohu
2023-10-25,5753.69,5811.27,5752.79,5778.9,163597328,sohu
2023-10-26,5745.53,5817.63,5724.0,5811.69,157275840,sohu
2023-10-27,5792.61,5937.54,5774.63,5916.68,172179648,sohu
2023-10-30,5899.38,6017.28,5898.69,6006.56,179281056,sohu
2023-10-31,6003.37,6013.73,5934.2,5969.34,165318448,sohu
2023-11-01,5969.81,5983.87,5943.19,5958.42,147451120,sohu
2023-11-02,5958.48,5983.22,5885.25,5885.25,140144416,sohu
2023-11-03,5895.6,5992.75,5895.6,5973.17,146120208,sohu
