date,open,high,low,close,volume,ret,source
2020-08-12,41.63,46.58,39.05,39.58,31704492.0,,akshare_stock_zh_a_daily
2020-08-13,37.56,39.35,32.71,34.74,22665472.0,-0.12228398180899436,akshare_stock_zh_a_daily
2020-08-14,35.18,38.26,34.62,36.21,18471848.0,0.042314335060448904,akshare_stock_zh_a_daily
2020-08-17,34.2,37.65,33.3,36.47,16960832.0,0.007180336923501729,akshare_stock_zh_a_daily
2020-08-18,36.21,38.28,35.4,37.65,15016985.0,0.032355360570331726,akshare_stock_zh_a_daily
2020-08-19,37.32,41.21,37.12,37.12,16133619.0,-0.014077025232403728,akshare_stock_zh_a_daily
2020-08-20,34.7,35.68,31.91,32.67,16187050.0,-0.11988146551724133,akshare_stock_zh_a_daily
2020-08-21,32.71,33.62,31.26,31.71,9619170.0,-0.029384756657483968,akshare_stock_zh_a_daily
2020-08-24,31.73,31.91,29.25,29.47,8064350.0,-0.07064017660044153,akshare_stock_zh_a_daily
2020-08-25,29.89,30.62,29.23,30.23,6410645.0,0.025788937902952114,akshare_stock_zh_a_daily
2020-08-26,30.26,30.26,27.04,27.16,8439434.0,-0.10155474694012567,akshare_stock_zh_a_daily
2020-08-27,27.25,28.73,26.38,27.44,7278717.0,0.010309278350515427,akshare_stock_zh_a_daily
2020-08-28,27.0,27.75,26.47,27.15,4864835.0,-0.010568513119533662,akshare_stock_zh_a_daily
2020-08-31,27.35,28.43,26.82,27.67,4921672.0,0.019152854511970574,akshare_stock_zh_a_daily
2020-09-01,27.36,28.22,27.35,27.74,3582901.0,0.0025298156848572173,akshare_stock_zh_a_daily
2020-09-02,28.04,28.13,26.64,26.96,4121870.0,-0.02811824080749814,akshare_stock_zh_a_daily
2020-09-03,26.92,27.95,26.77,27.85,5341012.0,0.033011869436201824,akshare_stock_zh_a_daily
2020-09-04,27.8,29.17,27.55,28.47,6369756.0,0.022262118491920946,akshare_stock_zh_a_daily
2020-09-07,28.54,29.54,27.92,28.12,6020578.0,-0.012293642430628693,akshare_stock_zh_a_daily
2020-09-08,28.24,28.4,26.64,27.01,5008258.0,-0.03947368421052633,akshare_stock_zh_a_daily
2020-09-09,26.32,26.33,24.78,24.86,5513761.0,-0.07960014809329885,akshare_stock_zh_a_daily
2020-09-10,25.04,25.51,23.68,23.89,3050886.0,-0.03901850362027348,akshare_stock_zh_a_daily
2020-09-11,24.03,25.74,23.78,25.45,4106704.0,0.06529928840519039,akshare_stock_zh_a_daily
2020-09-14,25.76,26.58,25.44,26.14,3755785.0,0.02711198428290773,akshare_stock_zh_a_daily
2020-09-15,26.08,26.91,25.54,26.53,2907726.0,0.014919663351185886,akshare_stock_zh_a_daily
2020-09-16,26.33,26.95,25.77,26.92,2791410.0,0.014700339238597815,akshare_stock_zh_a_daily
