2026-04-27 10:55:18,712 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=feature_build_start | feature_build_start
2026-04-27 10:55:18,715 | INFO | app.services.data_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=data_fetch_start | data_fetch_start fund nav
2026-04-27 10:55:20,605 | INFO | app.services.data_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=data_fetch_success | data_fetch_success fund nav fund_code=018956 rows=640 start=2023-08-10 end=2026-04-24 source=akshare_fund_open_fund_info_em
2026-04-27 10:55:20,754 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=top10_proxy_build_start | top10_proxy_build_start fund_code=018956
2026-04-27 10:55:20,755 | INFO | app.services.holding_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=holding_fetch_start | holding_fetch_start
2026-04-27 10:55:20,762 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=300502
2026-04-27 10:55:20,771 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=300502 source=cache rows=2463
2026-04-27 10:55:20,773 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=300502 stock_name=新易盛 source=cache rows=2463
2026-04-27 10:55:20,774 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=300308
2026-04-27 10:55:20,784 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=300308 source=cache rows=3243
2026-04-27 10:55:20,785 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=300308 stock_name=中际旭创 source=cache rows=3243
2026-04-27 10:55:20,786 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=300757
2026-04-27 10:55:20,792 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=300757 source=cache rows=1748
2026-04-27 10:55:20,792 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=300757 stock_name=罗博特科 source=cache rows=1748
2026-04-27 10:55:20,793 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=300394
2026-04-27 10:55:20,801 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=300394 source=cache rows=2704
2026-04-27 10:55:20,802 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=300394 stock_name=天孚通信 source=cache rows=2704
2026-04-27 10:55:20,802 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=688048
2026-04-27 10:55:20,807 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=688048 source=cache rows=984
