2026-05-25 15:39:44,852 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=feature_build_success | model_feature_columns_selected count=132 cols=['daily_growth_pct', 'fund_ret', 'fund_ret_lag1', 'fund_ret_lag2', 'fund_ret_lag3', 'fund_ret_lag5', 'fund_ret_lag10', 'fund_ret_mean_5', 'fund_ret_std_5', 'fund_mom_5', 'fund_ret_mean_10', 'fund_ret_std_10', 'fund_mom_10', 'fund_ret_mean_20', 'fund_ret_std_20', 'fund_mom_20', 'fund_ret_mean_60', 'fund_ret_std_60', 'fund_mom_60', 'fund_drawdown_20', 'fund_drawdown_60', 'recent_max_gain_20', 'recent_max_loss_20', 'up_days_5', 'down_days_5', 'consecutive_up_days', 'consecutive_down_days', 'zz500_ret', 'zz500_ret_lag1', 'zz500_ret_mean_5']
2026-05-25 15:39:44,852 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=feature_build_success | leakage_check_passed fund_code=018956
2026-05-25 15:39:44,852 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | point_model_train_start mode=fast
2026-05-25 15:39:44,854 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,303 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,313 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,321 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,332 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,341 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,349 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,356 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,364 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,371 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,378 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,385 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,393 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,400 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,407 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,415 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,422 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,429 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,436 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,443 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,451 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,458 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,465 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,472 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,479 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,488 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,503 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,517 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,531 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,545 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,560 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,574 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,589 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,603 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,618 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
2026-05-25 15:40:08,632 | INFO  | train | request_id=bc9ceae711a7 | fund_code=018956 | task_id=train_018956_0e7bcee27c | stage=point_model_train_start | xgboost_initialized device=cpu samples=360
